Manuscript ID,Manuscript Title,Manuscript Type,Author Names,Submission Date,Published after
RCSJ-2015-7015,Huge retroperitoneal liposarcoma: a case report and review of literature,Case reports,"Refky, Basel; AbdElKhalek, Mohamed; Zuhdy, Mohamed; Gaballa, Khaled; Arafa, Mohamed; Ali, Khadega; Metwally, Amr; Gadelhak, Basma; ElNahas, Waleed",2015,2015
RCSJ-2015-7017,How to accurately record intraoperative digital angles.,Technical papers,"Moledina, Jamil; Arnander, Magnus; Cerovac, Sonja",2015,2015
RCSJ-2015-7018,Positioning of patients during hip surgery,Technical papers,"Lal, Niharika; Salamut, Wazirl",2015,2015
RCSJ-2015-7021.R1,Intra-articular k-wire fixation for displaced Bennett’s fractures,Technical papers,"Chan, Oliver; Cheema, Kamalpreet; Housden, Philip",2015,2015
RCSJ-2015-7022,The ‘bus stop’ incision for BAHA placement,Technical papers,"Banigo, Adonye",2015,2015
RCSJ-2015-7023,TEACHING LEADERSHIP IN SURGERY: CURRENT EVIDENCE,Review articles,"Oliveira-Cunha, Melissa; Chaudhri, Sanjay",2015,2015
RCSJ-2015-7024,The use of Strattice in implant based breast reconstruction in higher risk patients - A single surgeon experience,Original research – Annals (clinical),"Kulkarni, Sachin; Trail, Charlotte; Matey, Pilar",2015,2015
RCSJ-2015-7025,Inverted Meckel's diverticulum causing intussusception in a Crohns patient,Case reports,"SHARP, GARY; Kozman, Daniel",2015,2015
RCSJ-2015-7026,A simple and biological way to implant bone marrow aspirate to form composite scaffolds.,Technical papers,"Bajada, Stefan",2015,2015
RCSJ-2015-7027,ASYMPTOMATIC CAROTID ARTERY STENOSIS AMONG DIABETIC PATIENTS AND THE RISK FACTORS,Original research – Annals (clinical),"Lenny, Suryani; Mohd, Azim; Harunarashid, Hanafiah",2015,2015
RCSJ-2015-7029.R1,Unilateral Lower Limb Oedema Due to a Pelvic Mass following Large Diameter Metal-on-Metal Hip Replacement.,Case reports,"Rajput, Vishal; Kenning, Michael; Shoaib, Ahmed; Minhas, Hasnat",2015,2015
RCSJ-2015-7030,Palmaris Longus Sling Suspension Technique for Leprosy Lagophthalmos Correction,Case reports,"Pedlar, Emma; Kaladagi, Nitin; Mendonca, Derick",2015,2015
RCSJ-2015-7032,Management of synergistic gangrene following an incisional abdominal hernia repair in an immunocompromised obese patient,Case reports,"MERALI, NABEEL; Almeida, Ricardo; Hussain, Abdulzahra",2015,2015
RCSJ-2015-7034,Pelvic Height Planning versus Conventional Templating for measuring the size of acetabulum cup,Original research – Annals (clinical),"Wang, Dong; Zhang, Huawu; Sun, Shui; Zhou, Yonggang; Chen, Jiying; Hao, Libo",2015,2015
RCSJ-2015-7035,Improving the accuracy of clinical coding in Dupuytren’s contracture surgery,Original research – Bulletin (non-clinical),"Robinson, Paul; Khan, Muhammad; Patel, Ketan; Wijeratna, Malin; Jones, Jonathan",2015,2015
RCSJ-2015-7036,Late biliary complications following pancreaticoduodenectomy,Original research – Annals (clinical),"Parra-Membrives, Pablo; Martinez-Baena, Dario; Sánchez-Sánchez, Fabricio",2015,2015
RCSJ-2015-7038,Iatrogenic Posterior Tibial Nerve Division during a combined Anterior Ankle Arthroscopy with an Additional Posterolateral Portal,Case reports,"Abdul-Jabar, Hani; Quick, Tom; Fox, Michael",2015,2015
RCSJ-2015-7039,Clinical Guidelines for Management of Complex Regional Pain Syndrome,Original research – Annals (clinical),"Jagodzinski, Nikolas; Fullilove, Sue; Al-Qassab, Sinan; Rockett, Mark",2015,2015
RCSJ-2015-7040,A survey showing the need to incorporate the teaching of critical appraisal skills in the undergraduate medical curriculum,Original research – Bulletin (non-clinical),"Adams, H; Clark, T; Boddington, R; Jaunoo, S",2015,2015
RCSJ-2015-7041,Novel technique for reduction of distal phalanx fractures using a plastic sponge holder clip,Technical papers,"Nickinson, Andrew; Smith, Gavin; Punwar, Shah",2015,2015
RCSJ-2015-7042,Operator Dependent Radiation Exposure in Ureteric Stent Insertion,Original research – Annals (clinical),"Heller, Brett; Malde, Sachin; Shrotri, Nitin",2015,2015
RCSJ-2015-7043,Endobutton Drill 'Signal Clip',Technical papers,"Platt, William; Gibb, Paul",2015,2015
RCSJ-2015-7044,Evaluation of intra-operative imaging during scarf osteotomy – an unnecessary cost or an essential prerequisite?,Original research – Annals (clinical),"Cooper, George; Li, Yueyang; Guha, Abhijit",2015,2015
RCSJ-2015-7045,A mobile phone digital goniometry app for measuring elbow range of motion – a feasibility study.,Original research – Annals (clinical),"Robinson, Paul; Dattani, Rupen; Parker, Richard; Van Rensburg, Lee",2015,2015
RCSJ-2015-7046,Ciliated foregut cyst in the triangle of Calot: the first reported.,Case reports,"Al Beteddini, Osama; Sherkawi, Emad",2015,2015
RCSJ-2015-7047,"Association between bibilometric parameters, reporting and methodological quality of randomised controlled trials in vascular and endovascular surgery",Review articles,"Hajibandeh, Shahab; Hajibandeh, Shahin; Antoniou, George; Green, Patrick; Maden, Michelle; Torella, Francesco",2015,2015
RCSJ-2015-7049,Hamstring graft preparation in ACL reconstruction,Technical papers,"Bolton, sarah-anne; allom, richard; wilkinson, michael",2015,2015
RCSJ-2015-7050,Maintaining the ACL graft in a biologically normal environment during subsequent stages of ACL Reconstruction,Technical papers,"Bolton, sarah-anne; allom, richard; wilkinson, michael",2015,2015
RCSJ-2015-7051,Hamstring graft preparation for ACL reconstruction using a Roman sandal suture technique,Technical papers,"Bolton, sarah-anne; allom, richard; wilkinson, michael",2015,2015
RCSJ-2015-7053,Venovenous Versus Venoarterial Extracorporeal Membrane Oxygenation in Congenital Diaphragmatic Hernia: A Meta-analysis,Review articles,"Yin, Liang; Shen, Hua; Min, Jie; Ling, Xinyu; Xi, Wang",2015,2015
RCSJ-2015-7055,Surgical resection of a large oesophageal gastrointestinal stromal tumour without oesophagectomy,Case reports,"Sherrah, Andrew; Mihrshahi, Sameer; Corte, Peter; Poursoltan, Pirooz; Nejad, Kambin; Magnussen, John; Vallely, Michael",2015,2015
RCSJ-2015-7057,Combined lower lateral crura strut with turn-in flap for primary rhinoplasty,Technical papers,"Goudakos, John; Fishman, Jonathan; Patel, Kalpesh",2015,2015
RCSJ-2015-7058,Does elective parathyroidectomy for primary hyperparathyroidism affect renal function? A prospective study.,Original research – Annals (clinical),"Egan, Richard; Dewi, Ffion; Arkell, Rose; Ansell, James; Zouwail, Soha; Scott-Coombes, David; Stechman, Michael",2015,2015
RCSJ-2015-7059,Cobra-head resembling technique of outflow vein configuration to prevent anastomotic and juxta-anastomotic stenoses in haemodialysis arteriovenous fistulae,Technical papers,"Soliman, Mahmoud; Morsy, Mohamed; Bagul, Atul",2015,2015
RCSJ-2015-7060,A rare case of coexistent carcinoma colon with tuberculosis.,Case reports,"Poddar, Devadatta; Singh, Prashant; Patel, Gaurav",2015,2015
RCSJ-2015-7061,Lessons in the History of Surgery for Pulmonary Tuberculosis,Case reports,"Conacher, Ian",2015,2015
RCSJ-2015-7062,"Optimal use of sinus imaging in the patient pathway:
a complete audit cycle.",Original research – Annals (clinical),"Harris, Richard; Hilton, Malcolm",2015,2015
RCSJ-2015-7063,Adequacy of Fluid Balance Chart Documentation on Surgical Wards,Original research – Annals (clinical),"Nazli, Aliya",2015,2015
RCSJ-2015-7064,Increased biceps translation: a clinical sign of complete distal biceps tendon rupture,Technical papers,"Malhotra, Karan; Waheed, Abdul",2015,2015
RCSJ-2015-7065,"Characteristics of Small Intestinal Diseases Under Single-Balloon Enteroscopy: a single center, 6 years experience from China",Original research – Annals (clinical),"Tao, Zhang; GX, Liu; k, Yang; xJ, Min; SQ, Li; HT, Gan",2015,2015
RCSJ-2015-7067,A modification to Buck’s skin traction to achieve rotational control in paediatric femoral shaft fracture,Technical papers,"Ibrahim, Edward; Rajani, Chandni; Evans, Stuart",2015,2015
RCSJ-2015-7068.R1,Pancreatico-enteric fistula post pancreatic duct ligation for delayed haemorrhage complicating pancreaticoduodenectomy – A case report and review of literature.,Case reports,"Vijay, Adarsh; Noaman, Islam; Mahfouz, Ahmed; Khawar, Mahwish; Khalaf, Hatem; Elaffandi, Ahmed",2015,2015
RCSJ-2015-7069,Radiofrequency-assisted partial splenectomy plus splenopexy--a modified surgical procedure for wandering spleen--a case report,Case reports,"Yang, Xiaoli; Wang, Wenping; Hao, Fulong",2015,2015
RCSJ-2015-7070.R1,A Technique to Aid Removal of the Tibial Baseplate in Revision TKR Surgery,Technical papers,"Wheelton, andrew; Bhatty, Usman; Jarratt, Jeremy",2015,2015
RCSJ-2015-7071.R1,Post traumatic pseudo diaphragmatic rupture: a clinical entity or a surgical error?,Case reports,"Elsayed, Hany; Soliman, Saleh",2015,2015
RCSJ-2015-7072,Surgeon-performed ultrasound versus radiology-reported US and MRI for the detection of surgically relevant rotator cuff tears in a district general hospital,Original research – Annals (clinical),"Ibrahim, Edward; Iossifidis, Anestis",2015,2015
RCSJ-2015-7073,Urachal adenocarcinoma presenting as a discharging umbilical sinus,Case reports,"Qureshi, Ahmad; Aqil, Sabra; Qureshi, Sidra; Cheema, Muhammad",2015,2015
RCSJ-2015-7075,"Association between bibilometric parameters, reporting and methodological quality of randomised controlled trials in vascular and endovascular surgery",Review articles,"Hajibandeh, Shahab; Hajibandeh, Shahin; Antoniou, George; Green, Patrick; Maden, Michelle; Torella, Francesco",2015,2015
RCSJ-2015-7076,A VERY UNUSUAL CAUSE OF ACUTE MECHANICAL SMALL BOWEL OBSTRUCTION: INGESTED BRAZIL NUT,Case reports,"Alubaidi, Kassem; Aikoye, Abdulmalik; Williams, Nicholas",2015,2015
RCSJ-2015-7078,Trotter’s Syndrome – harbinger of a silent killer,Review articles,"Badwal, Jaspreet",2015,2015
RCSJ-2015-7079,Simple yet effective way to prevent blockage of suction filter from surgical smoke,Technical papers,"Ghani, Yaser; Seel, Edward; Blagg, Stuart",2015,2015
RCSJ-2015-7082,Novel use of a trephine bone reamer for removal of a fractured Restoration femoral stem,Technical papers,"Vaidean, Traian; Marsland, Daniel; Datta, Gorav",2015,2015
RCSJ-2015-7083,Growth and Development Disorder after Sunitinib treatment for one child with Locally Progressive Kidney Cancer,Case reports,"Fang, Yong; Lu, Jun; Zhou, Gang; Li, Hong; Chen, Zhenhua; Wei, Jinghuan; Luo, Junhang; Chen, Wei",2015,2015
RCSJ-2015-7084,"Post-thyroidectomy haemorrhage in a tertiary centre. Analysis of 1,280 operations and comparison to the BAETS audit 2012.",Original research – Annals (clinical),"Pankhania, Miran; Mowat, Andrew; England, James",2015,2015
RCSJ-2015-7086,Are patients appropriately referred to the orthopaedic ward at the Royal Lancaster Infirmary?,Original research – Annals (clinical),"Leong, Kim",2015,2015
RCSJ-2015-7087,"Intra-articular LARS amputation
(Cutting a synthetic PCL graft flush to the femur)",Technical papers,"Chauhan, Govind; Lyn-White, Naomi; Atwal, Navraj",2015,2015
RCSJ-2015-7088,Bilateral simultaneous traumatic thumb injuries – Extensor pollicis longus rupture on one side and ulnar collateral ligament on the other. Case Report,Case reports,"Kasture, Sarang; Sakamuri, Raj",2015,2015
RCSJ-2015-7089,An Alternative to the Beach-Chair Position for Clavicular Surgery,Technical papers,"Chaundy, William; David, Benjamin",2015,2015
RCSJ-2015-7091,"Low Anterior Cervical Approach Without Manubriotomy for The Treatment of Cervicothoracic Tuberculosis: 
A retrospective study of 22 patients",Original research – Annals (clinical),"He, Maolin; Jiang, Tenglong; Tang, Xianmin; Wang, Kun; Luo, Shuju; Fowdur, Mitra",2015,2015
RCSJ-2015-7094,Comparison between Autologous Blood Transfusion Drainage and Closed-suction Drainage/ No Drainage in Total Knee Arthroplasty: A Meta-analysis.,Review articles,"HONG, Kun-hao; PAN, Jian-ke; YANG, Wei-yi; LUO, Ming-hui; XU, Shu-chai; LIU, JUN",2015,2015
RCSJ-2015-7096,Case Report: Successful Pancreatic Transplant with Duodenal Diverticulum,Case reports,"Taylor, Claire; Mamode, Nizam",2015,2015
RCSJ-2015-7097,PENETRATING TRAUMA TO THE KIDNEY AND MECKEL’S DIVERTICULUM IN A PATIENT WITH UNILATERAL RENAL AGENESIS,Case reports,"sobnach, sanju; Segobin, Rajshree; Nicol, Andrew; Edu, Sorin; navsaria, pradeep",2015,2015
RCSJ-2015-7098,Paediatric Medial Epicondyle Fracture Without Elbow Dislocation Associated With Intra-articular Ulnar Nerve Entrapment.,Case reports,"Elbashir, Mohamed; Domos, Peter; Latimer, Mark",2015,2015
RCSJ-2015-7099,"ACUTE BRAIN TRAUMA
Four independent injuries in five milliseconds, 
and why concussions may seem harmless.",Review articles,"Martin, Graham",2015,2015
RCSJ-2015-7100,Ciliated foregut cyst in the triangle of Calot: the first reported.,Case reports,"Al Beteddini, Osama; Sherkawi, Emad",2015,2015
RCSJ-2015-7101,"William Cookesley, William Hunter and the first patient to survive removal of the appendix in 1731. A case history with 31 years’ follow up.",Case reports,"Selley, Peter",2015,2015
RCSJ-2015-7102,The role of multimedia in surgical skills training and assessment,Review articles,"Shariff, Umar; Seretis, Charalampos; Doreen, Lee LP; Balasubramanian, Saba",2015,2015
RCSJ-2015-7104,Sarcoma awareness amongst orthopaedic and surgical trainees,Original research – Annals (clinical),"Sargazi, Nastaran; Harrison, Will; Neal, Shaun; Chandrasekar, Coonoor",2015,2015
RCSJ-2015-7105,Simulated wound assessment and clinical application,Original research – Annals (clinical),"Williams, Katherine; Davies, Alun",2015,2015
RCSJ-2015-7106,Guidance on Feedback of Outcome Data to Improve Performance in Vascular Surgery,Review articles,"Li, Mimi; Shalhoub, Joseph; Davies, Alun; Maruthappu, Mahiben",2015,2015
RCSJ-2015-7107,Academic surgery: an insight into the career pathway,Original research – Annals (clinical),"Murphy, Ralph; Kolar, Mallappa",2015,2015
RCSJ-2015-7108,Myoepithelial Carcinoma of Breast,Case reports,"Sadangi, Sudam; Mangual, Rasananda; Rout, Tapas; Behera, Samir",2015,2015
RCSJ-2015-7109,A quick and simple method of debriding multiple small bite wounds on the hand.,Technical papers,"Smock, Elliott; Davies, Rachel",2015,2015
RCSJ-2015-7110,"Irreducible Dislocation of the Fifth Metatarsophalangeal Joint: A Case Report, and Recommended Approach to Open Reduction",Case reports,"Hardman, John; Barnett, James; Subramanian, Padmanabhan; Haddo, Omar",2015,2015
RCSJ-2015-7112,Lateral X-ray for Proximal Femoral Fractures – Is it Habitual?,Original research – Annals (clinical),"Riaz, Osman; Nisar, Sohail; Arshad, Rizwan; Vanker, Raees; Al-Ashqar, Mohammed",2015,2015
RCSJ-2015-7114,Laparoscopic Transabdominal Preperitoneal Repair of a Strangulated Spigelian Hernia,Case reports,"Fonseca, Alexandre; Favaro, Murillo; Santin, Stephanie; Gabor, Silvio; Ribeiro Jr., Marcelo",2015,2015
RCSJ-2015-7115,Chronic Abdominal Aortic Dissection with Large Aneurysm Unsuitable for Endovascular Treatment,Case reports,"Ansell, James; Von Oppell, Ulrich; Williams, Ian",2015,2015
RCSJ-2015-7118,The Multidisciplinary Team (MDT) in cancer services:  Improving efficiency of care,Original research – Annals (clinical),"Rees, Michael; Winson, Daniel; Kaposztas, Zsolt; Kumar, Nagappan",2015,2015
RCSJ-2015-7120,Cemented hip hemiarthroplasty – has trainee competence been assumed?,Original research – Annals (clinical),"Deall, Ciara; Craig, Peter; Roberts, Philip",2015,2015
RCSJ-2015-7121,The use of a Surgical ‘Board Round’ for service delivery.,Technical papers,"Staruch, Robert",2015,2015
RCSJ-2015-7123,"What to do when the difficult screw removal kit is no longer useful?
Surgical technique for implant removal from lesser toes.",Technical papers,"Al Mutani, Mohammed",2015,2015
RCSJ-2015-7124,A Simple Defence Against Splash-Back from Wound Irrigation,Technical papers,"Ng, Hoi Ken; Somji, Sarah; Middleton, Rory",2015,2015
RCSJ-2015-7127,Standards in Operation Notes – Is it time to re-emphasise their importance?,Original research – Annals (clinical),"Cahill, Kevin; Burchette, Daniel; Kerin, Michael; Kelly, Jack",2015,2015
RCSJ-2015-7129,Short-term outcomes of hand-sewn stump closure after distal pancreatectomy at a single institution,Original research – Annals (clinical),"Okabayashi, Takehiro; Shima, Yasuo; Iwata, Jun; Morita, Sojiro; Sumiyoshi, Tatsuaki; Kozuki, Akihito; Saisaka, Yuichi; Tokumaru, Teppei; Iiyama, Tatsuo; Noda, Yoshihiro; Hata, Yasuhiro; Matsumoto, Manabu; Nishioka, Akihito",2015,2015
RCSJ-2015-7130,The frozen finger for painful prolapsing external thrombosed piles,Technical papers,"Bains, Salena; Hemingway, David",2015,2015
RCSJ-2015-7132,"Informed consent for elective total hip and knee arthroplasty, methods to improve?",Original research – Annals (clinical),"Abdel-Hamid, Hossam; Hamed, Ebtehal; Huber, Chris",2015,2015
RCSJ-2015-7135,Outcomes and cost effectiveness of a specialist one-stop Dupuytren’s percutaneous needle fasciotomy clinic,Original research – Annals (clinical),"Jones, Carl; Foote, Julian; Dodd, Laurie; Oakley, Jane; Nuñez, Valerie",2015,2015
RCSJ-2015-7136.R2,An unusual cause of parotid swelling in an adult,Case reports,"damodara, madhu; Shanker, Vivek; Tervit, Gareth",2015,2015
RCSJ-2015-7137,Posterior mastopexy: one technique to avoid asymmetry following cancer in the augmented breast,Case reports,"Cathcart, Paul; Agrawal, Amit; Forouhi, Parto; Vidyaprakash, Nithya",2015,2015
RCSJ-2015-7138,Do you have to be selfish to be a surgeon? A survey of popular opinion within the medical community,Original research – Annals (clinical),"Cheang, Benjamin; Steven, Richard; Orr, Katrine; Gill, Sarah",2015,2015
RCSJ-2015-7139,Symptomatic Cystic Duct Stump Lithiasis 21 Years After Cholecystectomy,Case reports,"das, somak; Swain, Sudeepta; Addala, Pavan; Gopakumar, CV; Zirpe, Dinesh; Ranganathan, Kirubakaran",2015,2015
RCSJ-2015-7140,Nasoenteric Tube versus Jejunostomy for Enteral Nutrition Feeding following Major Upper Gastrointestinal Operations: a Meta-Analysis,Original research – Annals (clinical),"Wang, Li dong; Tian, Zhong; Liu, Yuan",2015,2015
RCSJ-2015-7144,A modified ‘one-stitch’ hamstring tendon suture fixation technique for ACL graft preparation,Technical papers,"de Boer, David; Jansen, Joris",2015,2015
RCSJ-2015-7147,Reporting of intraoperative blood transfusion (IOBT) in colorectal cancer resections as a prognostic risk factor in colorectal cancer patients.,Original research – Annals (clinical),"Elbarmelgi, Mohamed Yehia; Farag, Ahmed; Azim, Hamdy; Abozeid, Ahmed",2015,2015
RCSJ-2015-7148,A prospective feasibility study - Developing a follow up surveillance protocol in Head & Neck oncological surgery: Enhanced ‘traffic-light’ surveillance,Original research – Annals (clinical),"De Zoysa, Nilantha; Lee, Alexandra; Joshi, Anil; Guerrero Urbano, Teresa; Lei, Mary; McGurk, Mark; Lyons, Andrew; Cascarini, Luke; Jeannon, Jean-Pierre; Simo, Ricard; Ali, Safina; Oakley, Richard",2015,2015
RCSJ-2015-7150,Huge Adrenal Ganglioneuroma Invading Kidney and  Postcava in an 63-year-old woman,Case reports,"Wang, Yi",2015,2015
RCSJ-2015-7151,Rupture of a left renal artery aneurysm: a rare abdominal emergency,Case reports,"Vallianou, Natalia; Sikara, Marina; Geladari, Eleni; Kokkinakis, Evangelos; Zisis, Charalampos",2015,2015
RCSJ-2015-7152,ARTERIAL EMBOLISATION FOLLOWED BY HEPATIC RESECTION FOR TREATMENT OF GIANT HAEMANGIOMA,Case reports,"Bailey, James; Di Carlo, Sara; Gomez, Dhanwant",2015,2015
RCSJ-2015-7153,Ward-based doctors in a District General Hospital do not improve 30 day proximal femur mortality but do improve ward efficiency.,Original research – Annals (clinical),"Marson, Ben; Sreekumar, Blaze; David, Pragash; Mason, Will",2015,2015
RCSJ-2015-7155,New approach of “stepwise vascular control” in complex liver resection involving second hepatic hilum and retro-hepatic inferior vena cava,Original research – Annals (clinical),"Dou, Lei; Liang, Hui-fang; Chen, Yi-fa; Chen, Xiao-ping",2015,2015
RCSJ-2015-7156,Hirsch Index value and variability related to general surgery in a UK Deanery,Original research – Annals (clinical),"Abdelrahman, Tarig; Brown, Josephine; Wheat, Jennifer; Thomas, Charlotte; Lewis, Wyn",2015,2015
RCSJ-2015-7157.R1,Therapeutic Mammaplasty – Current practice and coding,Original research – Annals (clinical),"Aggarwal, Shweta; Kotecha, Sita; Nyanhongo, Donald; Marla, Sekhar; Basu, Narendra",2015,2015
RCSJ-2015-7161.R1,SPONTANEOUS PERFORATION OF THE BILE DUCT SECONDARY TO ACUTE PANCREATITIS,Case reports,"Oms, Luis; Cayetano, Ladislao; Boadas, Jaume",2015,2015
RCSJ-2015-7163,Mastoid cavity reconstruction with sofradex-soaked bone pate: how we do it,Technical papers,"Sharma, Sunil; Patel, Nitesh",2015,2015
RCSJ-2015-7164,Early Multifocal Recurrence of Hepatoblastoma in the Residual Liver After R0 Liver Resection with ALPPS procedure: A Case Report,Case reports,"Qazi, Abid; Syed, Aamir; Khan, Ahsun; Hanif, Faisal",2015,2015
RCSJ-2015-7165,“One-Stop” Thyroid Clinic,Original research – Annals (clinical),"Sakai, Naomi; Thirusenthooran, Umaramani; Shrestha, Deepak; Iyngkaran, Thayahlan; Ravichandran, Duraisamy",2015,2015
RCSJ-2015-7166,A MESENTERIC CYST MIMICKING MALROTATION,Case reports,"Shepherd, Gregory; Fisher, Ross",2015,2015
RCSJ-2015-7167,The Novel Affordable Telford Temporal Bone Holder,Technical papers,"Senior, Andrew; Mitchell-Innes, Alistair; Scott, Andrew",2015,2015
RCSJ-2015-7168,Torsion of an ectopic spleen - a possible late complication of paraoesophageal hernia repair,Case reports,"Urbonas, Tomas; Crotty, Fiona; Al-Bahrani, Ahmed",2015,2015
RCSJ-2015-7169,Concurrent perforated Meckel’s diverticulum and intestinal malrotation in an 8-year old boy,Case reports,"Taylor, Henry; Venza, Marco; Badvie, Sara",2015,2015
RCSJ-2015-7170,Weighted surgical logbook - A way to assess surgical training in otolaryngology trainees in the UK,Original research – Annals (clinical),"Martinez Del Pero, Marcos; Bewick, Jessica; Davies-Husband, Cameron; Masterson, Liam; Bath, Andy",2015,2015
RCSJ-2015-7172,"Idiopathic air under the diaphragm, laparotomy or laparoscopy?",Case reports,"Khan, Mohammad; Hussain, Azahra; Ahmed, Tarig",2015,2015
RCSJ-2015-7173,"Asymptomatic Traumatic Hepatothorax, Symptomatic Acute Cholecystitis – A Rare Co-incidence",Case reports,"das, somak; Gopakumar, CV; Swain, Sudeepta; Addala, Pavan; Surendran, Rajagopal",2015,2015
RCSJ-2015-7175,"Gartland 3 off-ended supra-condylar humerus fractures: 
simplifying the tricky reduction",Technical papers,"Aarvold, Alexander; Cooper, Anthony; Miyanji, Firoz",2015,2015
RCSJ-2015-7176,Outcome of Laparoscopic Cholecystectomy in Class II and Class III Obesity and Super Obesity,Original research – Annals (clinical),"Eisawi, Abdalla; Holroyd, David; Altemimi, Ali; Siddiqui, Midhat",2015,2015
RCSJ-2015-7177,The impact of helipad designation on meeting the Best Practice Tariff for fractured neck of femur cases in a Major Trauma Centre,Original research – Annals (clinical),"Dabis, John; Hussein, Aliyah; Rickman, Mark",2015,2015
RCSJ-2015-7179,Analysis of published articles from UK & Ireland Plastic Surgery Units 2008-2013,Original research – Bulletin (non-clinical),"Lye, George; McKenna, Matthew",2015,2015
RCSJ-2015-7181,Laparoscopic Cholecystectomy In Situs Inversus Totalis. Report double Cystic Arteries,Case reports,"Alsabek, Mhd Belal; Aldirani, Alaa",2015,2015
RCSJ-2015-7183,The Cooperation Between Camera Assistant and Operator During Single-incision Laparoscopic Cholecystectomy,Original research – Annals (clinical),"Li, Yongnan; Wu, Shuodong; Tian, Yu; Li, Min",2015,2015
RCSJ-2015-7184,Headless compression screws in epiphyseal injuries,Technical papers,"Suhail, Alungaparambil Syedmohammed; Suhail, Abdul Gafoor; Al-Khateeb, Hesham",2015,2015
RCSJ-2015-7185,Headless compression screws in epiphyseal injuries,Technical papers,"Suhail, Alungaparambil Syedmohammed; Suhail, Abdul Gafoor; Al-Khateeb, Hesham; Nada, Atif",2015,2015
RCSJ-2015-7186,"""Selfie-stick"" surveillance of diabetic feet - A simple, inexpensive and effective solution to a difficult problem",Technical papers,"Majumder, Vivek; Smith, James; Majumder, Sanjib",2015,2015
RCSJ-2015-7187,A novel technique for subcuticular closure with buried knots,Technical papers,"Amiri, Amir; Dodds, Richard",2015,2015
RCSJ-2015-7188,Cosmetic Surgery 2015: What you Need to Know?,Review articles,"Paul, Rand",2015,2015
RCSJ-2015-7189,Acute appendicitis following blunt trauma abdomen in children: Chance or cause?,Original research – Annals (clinical),"Gupta, Rahul; Paul, Rozy; Sharma, Shyam; Shrivastava, Mitika; Bansal, Juhi; Mathur, Praveen",2015,2015
